  seconds  |     gc     |   consed   |  calls  |  sec/call  |  name
     0.002 |      0.000 |          0 |   1,746 |   0.000001 | FBO-BOUND
     0.002 |      0.000 |          0 |   1,746 |   0.000001 | CEPL.FBOS::%FBO-DRAW-BUFFERS
     0.002 |      0.000 |     32,768 |   1,749 |   0.000001 | CEPL.PIPELINES::UNIFORM-MATRIX-4FT
     0.001 |      0.000 |          0 |   3,492 |   0.000000 | CL-OPENGL-BINDINGS:UNIFORM-1I
     0.001 |      0.000 |          0 |   3,492 |   0.000000 | CL-OPENGL-BINDINGS:UNIFORM-4FV
     0.001 |      0.000 |          0 |  18,432 |   0.000000 | CEPL.C-ARRAYS::AREF-C*-1D
     0.000 |      0.000 |          0 |       4 |   0.000000 | CEPL-UTILS:ENSURE-VEC-INDEX
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL-UTILS:KWD
     0.000 |      0.000 |          0 |       1 |   0.000000 | CEPL-UTILS:SYMB-PACKAGE
     0.000 |      0.000 |    294,912 |       3 |   0.000000 | CEPL-UTILS:RANGE
     0.000 |      0.000 |          0 |      20 |   0.000000 | CEPL-UTILS:LISTIFY
     0.000 |      0.000 |          0 |       3 |   0.000000 | CEPL-UTILS:MKSTR
     0.000 |      0.000 |          0 |       5 |   0.000000 | %CEPL.TYPES::%VALID-INDEX-TYPE-P
     0.000 |      0.000 |          0 |       1 |   0.000000 | %CEPL.TYPES::%MAKE-BUFFER-STREAM
     0.000 |      0.000 |          0 |       1 |   0.000000 | %CEPL.TYPES::PRIMITIVE-VERT-LENGTH
     0.000 |      0.000 |          0 |       2 |   0.000000 | %CEPL.TYPES:%MAKE-GPU-ARRAY-T
     0.000 |      0.000 |          0 |       4 |   0.000000 | %CEPL.TYPES:%MAKE-GPU-ARRAY-BB
     0.000 |      0.000 |          0 |   1,748 |   0.000000 | BUFFER-STREAM-INDEX-TYPE
     0.000 |      0.000 |          0 |       2 |   0.000000 | %CEPL.TYPES:%%MAKE-TEXTURE
     0.000 |      0.000 |          0 |       1 |   0.000000 | %CEPL.TYPES:%MAKE-VIEWPORT
     0.000 |      0.000 |          0 |       2 |   0.000000 | %CEPL.TYPES:%MAKE-GPU-BUFFER
     0.000 |      0.000 |          0 |       1 |   0.000000 | %CEPL.TYPES:MAKE-RAW-BUFFER-STREAM
     0.000 |      0.000 |          0 |       1 |   0.000000 | %CEPL.TYPES:DRAW-MODE-GROUP-ID
     0.000 |      0.000 |          0 |       2 |   0.000000 | %CEPL.TYPES:MAKE-UNINITIALIZED-TEXTURE
     0.000 |      0.000 |          0 |       1 |   0.000000 | MAKE-VIEWPORT
     0.000 |      0.000 |          0 |   3,510 |   0.000000 | %CEPL.TYPES:%SAMPLER-ID
     0.000 |      0.000 |          0 |       2 |   0.000000 | %CEPL.TYPES:MAKE-UNINITIALIZED-SAMPLER
     0.000 |      0.000 |          0 |       1 |   0.000000 | %CEPL.TYPES:MAKE-UNINITIALIZED-BUFFER-STREAM
     0.000 |      0.000 |          0 |       4 |   0.000000 | %CEPL.TYPES:MAKE-SAMPLER-ID-BOX
     0.000 |      0.000 |          0 |       6 |   0.000000 | %CEPL.TYPES:%MAKE-C-ARRAY
     0.000 |      0.000 |          0 |       4 |   0.000000 | %CEPL.TYPES:MAKE-PIXEL-FORMAT
     0.000 |      0.000 |          0 |       1 |   0.000000 | %CEPL.TYPES:BUFFER-STREAM-START
     0.000 |      0.000 |          0 |       2 |   0.000000 | %CEPL.TYPES:MAKE-UNINITIALIZED-GPU-ARRAY-BB
     0.000 |      0.000 |          0 |       2 |   0.000000 | %CEPL.TYPES:MAKE-UNINITIALIZED-GPU-BUFFER
     0.000 |      0.000 |          0 |       2 |   0.000000 | %CEPL.TYPES:%MAKE-SAMPLER
     0.000 |      0.000 |    720,224 |   6,145 |   0.000000 | PULL1-G
     0.000 |      0.000 |     32,752 |       2 |   0.000000 | PUSH-G
     0.000 |      0.000 |     32,768 |       1 |   0.000000 | PULL-G
     0.000 |      0.000 |          0 |       2 |   0.000000 | PIXEL-FORMAT->LISP-TYPE
     0.000 |      0.000 |     98,304 |       6 |   0.000000 | GET-TYPED-FROM-FOREIGN
     0.000 |      0.000 |     98,288 |       6 |   0.000000 | GET-TYPED-TO-FOREIGN
     0.000 |      0.000 |     32,752 |       8 |   0.000000 | LISP-TYPE->PIXEL-FORMAT
     0.000 |      0.000 |          0 |       2 |   0.000000 | ELEMENT-BYTE-SIZE
     0.000 |      0.000 |          0 |       9 |   0.000000 | ELEMENT-TYPE
     0.000 |      0.000 |          0 |   6,144 |   0.000000 | NORM
     0.000 |      0.000 |     32,768 |   6,144 |   0.000000 | TEX
     0.000 |      0.000 |          0 |       8 |   0.000000 | CEPL.INTERNALS:|1D-P|
     0.000 |      0.000 |     32,768 |  12,288 |   0.000000 | CEPL.INTERNALS:POPULATE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.INTERNALS:GL-ASSIGN-ATTRIB-POINTERS
     0.000 |      0.000 |          0 |       6 |   0.000000 | CEPL.INTERNALS:SYMBOL-NAMES-CEPL-STRUCTP
     0.000 |      0.000 |          0 |   1,750 |   0.000000 | CEPL.INTERNALS:CFFI-TYPE->GL-TYPE
     0.000 |      0.000 |          0 |      12 |   0.000000 | CEPL.INTERNALS:GL-TYPE-SIZE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.CONTEXT::REGISTER-GPU-BUFFER
     0.000 |      0.000 |          0 |      24 |   0.000000 | CEPL.CONTEXT::SET-GPU-BUFFER-BOUND-ID
     0.000 |      0.000 |          0 |       3 |   0.000000 | CEPL.CONTEXT::BUFFER-KIND->CACHE-INDEX
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.CONTEXT::TEX-KIND->CACHE-INDEX
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.CONTEXT::REGISTER-TEXTURE
     0.000 |      0.000 |          0 |   1,746 |   0.000000 | READ-FBO-BOUND
     0.000 |      0.000 |          0 |   1,746 |   0.000000 | VAO-BOUND
     0.000 |      0.000 |          0 |       3 |   0.000000 | CEPL.VIEWPORTS::%SET-RESOLUTION
     0.000 |      0.000 |          0 |       9 |   0.000000 | VIEWPORT-DIMENSIONS
     0.000 |      0.000 |          0 |       2 |   0.000000 | IMAGE-FORMATP
     0.000 |      0.000 |          0 |       4 |   0.000000 | CEPL.PIXEL-FORMATS::PIXEL-FORMAT!
     0.000 |      0.000 |          0 |       4 |   0.000000 | CEPL.PIXEL-FORMATS::PROCESS-PIXEL-FORMAT
     0.000 |      0.000 |          0 |       4 |   0.000000 | CEPL.PIXEL-FORMATS::GET-COMPONENT-LENGTH
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.PIXEL-FORMATS::COMPILE-PIXEL-FORMAT
     0.000 |      0.000 |          0 |      11 |   0.000000 | CEPL.C-ARRAYS::%GL-CALC-BYTE-SIZE
     0.000 |      0.000 |          0 |       1 |   0.000000 | CEPL.C-ARRAYS::VALIDATE-DIMENSIONS
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.C-ARRAYS::GL-CALC-BYTE-SIZE
     0.000 |      0.000 |          0 |       3 |   0.000000 | CEPL.C-ARRAYS::C-ARRAY-BYTE-SIZE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.C-ARRAYS::VALIDATE-SEQ-DIMENSIONS
     0.000 |      0.000 |          0 |       5 |   0.000000 | CEPL.C-ARRAYS::BLANK-C-ARRAY-OBJECT
     0.000 |      0.000 |    294,912 |       3 |   0.000000 | CEPL.C-ARRAYS::C-POPULATE
     0.000 |      0.000 |          0 |  18,432 |   0.000000 | AREF-C*
     0.000 |      0.000 |          0 |       3 |   0.000000 | MAKE-C-ARRAY
     0.000 |      0.000 |          0 |       5 |   0.000000 | POINTER
     0.000 |      0.000 |          0 |       5 |   0.000000 | FREE-C-ARRAY
     0.000 |      0.000 |          0 |       3 |   0.000000 | MAKE-C-ARRAY-FROM-POINTER
     0.000 |      0.000 |          0 |       1 |   0.000000 | CEPL.GPU-BUFFERS::GPU-ARRAY-SUB-DATA
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.GPU-BUFFERS::GEN-BUFFER
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.GPU-BUFFERS::INIT-GPU-BUFFER-NOW
     0.000 |      0.000 |          0 |       2 |   0.000000 | BUFFER-DATA
     0.000 |      0.000 |          0 |       2 |   0.000000 | MAKE-GPU-BUFFER
     0.000 |      0.000 |          0 |       2 |   0.000000 | BUFFER-DATA-RAW
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.GPU-ARRAYS.BUFFER-BACKED::MAKE-GPU-ARRAY-SHARE-DATA
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.GPU-ARRAYS.BUFFER-BACKED::INIT-GPU-ARRAY-FROM-C-ARRAY
     0.000 |      0.000 |          0 |       8 |   0.000000 | GPU-ARRAY-BUFFER
     0.000 |      0.000 |          0 |       2 |   0.000000 | MAKE-GPU-ARRAY
     0.000 |      0.000 |          0 |       3 |   0.000000 | CEPL.VAOS::SUITABLE-ARRAY-FOR-INDEX-P
     0.000 |      0.000 |          0 |       1 |   0.000000 | CEPL.VAOS:MAKE-VAO
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.VAOS:MAKE-VAO-FROM-ID
     0.000 |      0.000 |          0 |       1 |   0.000000 | CEPL.STREAMS::INIT-BUFFER-STREAM-FROM-ID
     0.000 |      0.000 |          0 |       1 |   0.000000 | MAKE-BUFFER-STREAM
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::%TEXTURE-DIMENSIONS
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::TEX-STORAGE-2D
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::%UPLOAD-TO-IMMUTABLE-TEX
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::%MAKE-TEXTURE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::CALC-IMAGE-FORMAT
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::%CALC-IMAGE-FORMAT-WITH-DECLARED-FORMAT
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::ESTABLISH-TEXTURE-TYPE
     0.000 |      0.000 |          0 |   3,492 |   0.000000 | CEPL.TEXTURES::ACTIVE-TEXTURE-NUM
     0.000 |      0.000 |          0 |       4 |   0.000000 | CEPL.TEXTURES::PO2P
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::VALID-INDEX-P
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::MAKE-TEXTURE-NOW
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::ERROR-ON-INVALID-UPLOAD-FORMATS
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::VALIDATE-PIXEL-FORMAT
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::GEN-TEXTURE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::ALLOCATE-IMMUTABLE-TEXTURE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::UPLOAD-C-ARRAY-TO-GPU-ARRAY-T
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::ALLOCATE-TEXTURE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::DIMENSIONS-AT-MIPMAP-LEVEL
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.TEXTURES::%UPLOAD-TEX
     0.000 |      0.000 |          0 |       2 |   0.000000 | MAKE-TEXTURE
     0.000 |      0.000 |          0 |       2 |   0.000000 | TEXREF
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::%SET-COMPARE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::CALC-SAMPLER-TYPE
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::%SET-MIN-LOD
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::GET-SAMPLER-ID-BOX
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::%SET-WRAP
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::%SET-MINIFY-FILTER
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::MAKE-SAMPLER-NOW
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::%GET-ID
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::%SET-LOD-BIAS
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::GET-FREE-FAKE-SAMPLER-ID
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::%SET-MAGNIFY-FILTER
     0.000 |      0.000 |          0 |       2 |   0.000000 | CEPL.SAMPLERS::%SET-MAX-LOD
     0.000 |      0.000 |          0 |       2 |   0.000000 | SAMPLE
     0.000 |      0.000 |          0 |   1,746 |   0.000000 | CLEAR
     0.000 |      0.000 |          0 |   3,492 |   0.000000 | CEPL.PIPELINES::UNIFORM-SAMPLER
     0.000 |      0.000 |          0 |   1,746 |   0.000000 | CEPL.PIPELINES::UNIFORM-3F
     0.000 |      0.000 |          0 |   1,749 |   0.000000 | CEPL.PIPELINES::USE-PROGRAM
     0.000 |      0.000 |          0 |      16 |   0.000000 | CFFI::ENSURE-PARSED-BASE-TYPE
     0.000 |      0.000 |          0 |      16 |   0.000000 | CFFI::%FOREIGN-ENUM-KEYWORD
     0.000 |      0.000 |          0 |      16 |   0.000000 | CFFI::FOLLOW-TYPEDEFS
     0.000 |      0.000 |          0 |       8 |   0.000000 | CFFI::NAME
     0.000 |      0.000 |          0 |      16 |   0.000000 | CFFI::CANONICALIZE
     0.000 |      0.000 |          0 |       3 |   0.000000 | CFFI::NULL-TERMINATOR-LEN
     0.000 |      0.000 |    590,496 |  47,168 |   0.000000 | CFFI::FIND-TYPE-PARSER
     0.000 |      0.000 |          0 |       1 |   0.000000 | CFFI::FST-FREE-TO-FOREIGN-P
     0.000 |      0.000 |          0 |       4 |   0.000000 | CFFI::CHECK-FOR-TYPEDEF-CYCLES
     0.000 |      0.000 |          0 |       1 |   0.000000 | CFFI::%FOREIGN-BITFIELD-VALUE
     0.000 |      0.000 |          0 |   3,549 |   0.000000 | CFFI::%FOREIGN-ENUM-VALUE
     0.000 |      0.000 |          0 |      16 |   0.000000 | CFFI::VALUE-KEYWORDS
     0.000 |      0.000 |          0 |   3,549 |   0.000000 | CFFI::KEYWORD-VALUES
     0.000 |      0.000 |          0 |      17 |   0.000000 | CFFI::ACTUAL-TYPE
     0.000 |      0.000 |     32,768 |      16 |   0.000000 | CFFI::AGGREGATEP
     0.000 |      0.000 |          0 |       1 |   0.000000 | CFFI::FST-ENCODING
     0.000 |      0.000 |          0 |       1 |   0.000000 | CFFI::ENCODING
     0.000 |      0.000 |          0 |      15 |   0.000000 | CFFI:MEM-AREF
     0.000 |      0.000 |          0 |       3 |   0.000000 | CFFI:FOREIGN-STRING-FREE
     0.000 |      0.000 |          0 |       1 |   0.000000 | CFFI:FOREIGN-BITFIELD-VALUE
     0.000 |      0.000 |          0 |       1 |   0.000000 | CFFI:TRANSLATE-TO-FOREIGN
     0.000 |      0.000 |          0 |      15 |   0.000000 | CFFI:MEM-REF
     0.000 |      0.000 |          0 |  53,313 |   0.000000 | CFFI:FOREIGN-TYPE-SIZE
     0.000 |      0.000 |          0 |       3 |   0.000000 | CFFI:FOREIGN-STRING-ALLOC
     0.000 |      0.000 |          0 |       1 |   0.000000 | CFFI:FREE-TRANSLATED-OBJECT
     0.000 |      0.000 |          0 |      11 |   0.000000 | CFFI:FOREIGN-STRING-TO-LISP
     0.000 |      0.000 |          0 |      30 |   0.000000 | CFFI:TRANSLATE-FROM-FOREIGN
     0.000 |      0.000 |          0 |      15 |   0.000000 | CFFI:FOREIGN-ENUM-VALUE
     0.000 |      0.000 |          0 |       1 |   0.000000 | CL-OPENGL-BINDINGS:MAP-BUFFER
     0.000 |      0.000 |          0 |      16 |   0.000000 | CL-OPENGL-BINDINGS:BIND-BUFFER
     0.000 |      0.000 |          0 |       1 |   0.000000 | CL-OPENGL-BINDINGS:UNMAP-BUFFER
     0.000 |      0.000 |          0 |       1 |   0.000000 | CL-OPENGL-BINDINGS:GEN-VERTEX-ARRAYS
     0.000 |      0.000 |          0 |      12 |   0.000000 | CL-OPENGL-BINDINGS:SAMPLER-PARAMETER-I
     0.000 |      0.000 |          0 |       1 |   0.000000 | CL-OPENGL-BINDINGS:BUFFER-SUB-DATA
     0.000 |      0.000 |          0 |       6 |   0.000000 | CL-OPENGL-BINDINGS:VERTEX-ATTRIB-POINTER
     0.000 |      0.000 |          0 |       2 |   0.000000 | CL-OPENGL-BINDINGS:BUFFER-DATA
     0.000 |      0.000 |          0 |       6 |   0.000000 | CL-OPENGL-BINDINGS:ENABLE-VERTEX-ATTRIB-ARRAY
     0.000 |      0.000 |          0 |       2 |   0.000000 | CL-OPENGL-BINDINGS:TEX-STORAGE-2D
     0.000 |      0.000 |          0 |       6 |   0.000000 | CL-OPENGL-BINDINGS:SAMPLER-PARAMETER-F
     0.000 |      0.000 |          0 |       2 |   0.000000 | CL-OPENGL-BINDINGS:GEN-SAMPLERS
     0.000 |      0.000 |          0 |       2 |   0.000000 | CL-OPENGL-BINDINGS:GEN-BUFFERS
